subject,idna_subject,expiration_date,epoch,registrar
1688h.vip,1688h.vip,30-jun-2026,1782777600.0,Go Canada Domains Inc
1688j.vip,1688j.vip,30-jun-2026,1782777600.0,Go Australia Domains Inc
168968.vip,168968.vip,11-dec-2026,1796947200.0,Go Australia Domains Inc
17478.vip,17478.vip,03-aug-2026,1785715200.0,Dynadot Inc
25835.vip,25835.vip,14-jul-2026,1783987200.0,Dynadot Inc
54.vip,54.vip,06-sep-2027,1820188800.0,Go Australia Domains Inc
55660.vip,55660.vip,05-dec-2027,1827964800.0,"Name.com, Inc."
55661.vip,55661.vip,05-dec-2027,1827964800.0,"Name.com, Inc."
789club.biz,789club.biz,06-dec-2026,1796515200.0,"NameCheap, Inc."
aiailive.io,aiailive.io,25-nov-2026,1795564800.0,InsaneNames LLC
debet.club,debet.club,23-dec-2029,1892678400.0,"GoDaddy.com, LLC"
debet.vip,debet.vip,23-dec-2029,1892678400.0,"GoDaddy.com, LLC"
fv88.win,fv88.win,01-dec-2027,1827619200.0,"NameCheap, Inc."
hj96.vip,hj96.vip,16-mar-2026,1773619200.0,"Name.com, Inc."
k18.vip,k18.vip,03-nov-2034,2046124800.0,Go Australia Domains Inc
k16.vip,k16.vip,09-dec-2034,2049235200.0,"Wild West Domains, Inc."
k8.cc,k8.cc,04-may-2030,1904083200.0,"GoDaddy.com, LLC"
kb88.fun,kb88.fun,26-aug-2026,1787702400.0,iNET SOFTWARE COMPANY LIMITED
kto.asia,kto.asia,10-may-2026,1778371200.0,"GoDaddy.com, LLC"
ktovn.xyz,ktovn.xyz,26-jul-2027,1816560000.0,"Go Daddy, LLC"
miso88.xyz,miso88.xyz,05-mar-2026,1772668800.0,Squarespace Domains II LLC
nosap.win,nosap.win,23-nov-2026,1795392000.0,"GoDaddy.com, LLC"
sanos.fun,sanos.fun,26-aug-2026,1787702400.0,Namecheap
sodo.host,sodo.host,29-dec-2026,1798502400.0,"Go Daddy, LLC"
sun6.win,sun6.win,08-apr-2027,1807142400.0,Dynadot Inc
sun8.win,sun8.win,08-apr-2027,1807142400.0,Dynadot Inc
sv388.cam,sv388.cam,14-jul-2026,1783987200.0,Namecheap
telebot.online,telebot.online,21-jun-2026,1782000000.0,URL Solutions Inc.
w158.vip,w158.vip,27-jun-2026,1782518400.0,"Go Montenegro Domains, LLC"
won88.win,won88.win,27-nov-2029,1890432000.0,Dynadot Inc
xpj4466.blog,xpj4466.blog,20-aug-2026,1787184000.0,Namecheap
fun99.vip,fun99.vip,07-mar-2027,1804377600.0,"Spaceship, Inc."
35049.site,35049.site,21-jan-2027,1800489600.0,ERANET INTERNATIONAL LIMITED
168bs.vip,168bs.vip,30-may-2026,1780099200.0,"Go Montenegro Domains, LLC"
cpsvn.xyz,cpsvn.xyz,26-jul-2028,1848182400.0,"Go Daddy, LLC"
ktokto.asia,ktokto.asia,28-may-2027,1811462400.0,"GoDaddy.com, LLC"
ktoviet.fun,ktoviet.fun,26-jul-2026,1785024000.0,"Go Daddy, LLC"
fc9.link,fc9.link,01-aug-2026,1785542400.0,"Amazon Registrar, Inc."
