idna_subject,checker_type,destination,source,tested_at,session_id
000000tyc.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:39.568170,b6df39350a560e7df64062af
00000234.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:40.204869,b6df39350a560e7df64062af
000000.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:40.338284,b6df39350a560e7df64062af
0000130.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:40.758890,b6df39350a560e7df64062af
00001bet.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:41.067556,b6df39350a560e7df64062af
000000hd.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:41.287809,b6df39350a560e7df64062af
00001676.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:41.336382,b6df39350a560e7df64062af
00000hd.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:41.483795,b6df39350a560e7df64062af
00002tyc.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:42.025418,b6df39350a560e7df64062af
00002004.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:43.117230,b6df39350a560e7df64062af
00003tyc.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:43.624369,b6df39350a560e7df64062af
00002007.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:44.428800,b6df39350a560e7df64062af
00002277.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:44.456983,b6df39350a560e7df64062af
00003044.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:44.712703,b6df39350a560e7df64062af
00004008.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:44.755618,b6df39350a560e7df64062af
00004tyc.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:45.291583,b6df39350a560e7df64062af
00005670.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:45.565250,b6df39350a560e7df64062af
0000442.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:45.746280,b6df39350a560e7df64062af
00000178.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:45.809755,b6df39350a560e7df64062af
000068.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:46.358501,b6df39350a560e7df64062af
00008040.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:46.915402,b6df39350a560e7df64062af
00006.org,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:47.903823,b6df39350a560e7df64062af
00007708.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:48.111488,b6df39350a560e7df64062af
00009tyc.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:48.446563,b6df39350a560e7df64062af
00008126.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:49.079409,b6df39350a560e7df64062af
00005156.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:49.419455,b6df39350a560e7df64062af
0001004.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:49.685080,b6df39350a560e7df64062af
0000dabao.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:50.222134,b6df39350a560e7df64062af
0000bst.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:50.514509,b6df39350a560e7df64062af
0000wb.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:52.407268,b6df39350a560e7df64062af
0001235.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:53.080619,b6df39350a560e7df64062af
0001239.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:53.195449,b6df39350a560e7df64062af
0001237.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:53.533068,b6df39350a560e7df64062af
000148.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:54.421337,b6df39350a560e7df64062af
000148a.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:54.485366,b6df39350a560e7df64062af
000148b.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:54.865916,b6df39350a560e7df64062af
000148c.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:55.714794,b6df39350a560e7df64062af
000148d.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:55.795108,b6df39350a560e7df64062af
00012023.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:55.928770,b6df39350a560e7df64062af
000148e.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:56.224712,b6df39350a560e7df64062af
000148f.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:57.032197,b6df39350a560e7df64062af
000148g.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:57.156854,b6df39350a560e7df64062af
000148j.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:57.205494,b6df39350a560e7df64062af
000148k.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:57.514546,b6df39350a560e7df64062af
000148p.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:58.359258,b6df39350a560e7df64062af
000148t.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:58.470140,b6df39350a560e7df64062af
000148y.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:58.509577,b6df39350a560e7df64062af
000148z.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:58.807221,b6df39350a560e7df64062af
000173.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:59.634806,b6df39350a560e7df64062af
000173a.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:59.815547,b6df39350a560e7df64062af
000173b.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:10:59.835333,b6df39350a560e7df64062af
000173c.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:11:00.091931,b6df39350a560e7df64062af
000173d.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:11:00.945650,b6df39350a560e7df64062af
000173e.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:11:01.105730,b6df39350a560e7df64062af
000173f.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:11:01.169547,b6df39350a560e7df64062af
000173g.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:11:01.366958,b6df39350a560e7df64062af
000173j.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:11:02.273870,b6df39350a560e7df64062af
000173k.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:11:02.421540,b6df39350a560e7df64062af
000173p.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:11:02.522737,b6df39350a560e7df64062af
000173t.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:11:02.717937,b6df39350a560e7df64062af
000173y.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:11:03.614357,b6df39350a560e7df64062af
000173z.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:11:03.695269,b6df39350a560e7df64062af
000192.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:11:03.825518,b6df39350a560e7df64062af
000192a.com,AVAILABILITY,origin.list,origin.list,2023-11-22 05:11:04.022960,b6df39350a560e7df64062af
