# Generated by PyFunceble (v4.3.1.dev) / https://pyfunceble.github.io
# Date of generation: 2026-04-30T19:57:49.253352+00:00

Registrar                      Percentage   Amount      
------------------------------ ------------ ------------
Go Daddy, LLC                  88%          1070        
Dynadot Inc                    2%           22          
GoDaddy.com, LLC               2%           22          
NameCheap, Inc.                1%           10          
Amazon Registrar, Inc.         1%           8           
Namecheap                      1%           8           
Dynadot LLC                    0%           4           
Dynadot, LLC                   0%           4           
Gname 005 Inc                  0%           4           
Gname 007 Inc                  0%           4           
Go Australia Domains Inc       0%           4           
Go Montenegro Domains, LLC     0%           4           
Name.com, Inc                  0%           4           
Name.com, Inc.                 0%           4           
VIRTUA DRUG Kutatási Szolgáltató Korlátolt Felelősségű Társaság 0%           4           
Go Daddy, LLC                  88%          1070        
Dynadot Inc                    2%           22          
GoDaddy.com, LLC               2%           22          
NameCheap, Inc.                1%           10          
Amazon Registrar, Inc.         1%           8           
Namecheap                      1%           8           
Dynadot LLC                    0%           4           
Dynadot, LLC                   0%           4           
Gname 005 Inc                  0%           4           
Gname 007 Inc                  0%           4           
Go Australia Domains Inc       0%           4           
Go Montenegro Domains, LLC     0%           4           
Name.com, Inc                  0%           4           
Name.com, Inc.                 0%           4           
VIRTUA DRUG Kutatási Szolgáltató Korlátolt Felelősségű Társaság 0%           4           
